collctions,collctions-href,details,details-href,image1-src,image2-src,finshihoptions-src,description1,description2,technical,productcodes
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/modern-brass-double-hook-with-rosette-option","","","http://emtek.com/finishes/US10B_Finish.jpg","","","",""
"Cabinet Pulls","http://emtek.com/cabinet-pulls","","http://emtek.com/Cabinet-Pulls/bezier-cabinet-pull","","","","","","Technical Specifications",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-athena-lever","","","","","","","Neos Rosette Style:
 Passage Set - 5111
 Privacy Set - 5211
 Dummy, Pair - 5051"
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-helios-lever","","","","- Can be ordered with any Brass rosette 
- Sold as complete set. Includes Latch and Strike Plate 
- 28 Degree Latch is available for additional charge 
- For pricing information, contact any Emtek® dealer","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/hampton-crystal-knob","","","","","- Standard latch is for 2-3/8"" backset. Specify 2-3/4"" backset if required","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-helios-lever","","","http://emtek.com/finishes/US26_Finish.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/bern-knob","","","","- Can be ordered with any Brass rosette 
- Sold as complete set. Includes Latch and Strike Plate 
- 28 Degree Latch is available for additional charge 
- For pricing information, contact any EMTEK® dealer","","",""
"Cabinet Appliance Pulls","http://emtek.com/cabinet-appliance-pulls","","http://emtek.com/Cabinet-Appliance-Pulls/trail-appliance-pull","","","http://emtek.com/finishes/US10B_Finish.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/modern-disc-crystal","","","","","","","Upgrade to CF Mechanism by adding ""C"" in front of the product code. 
For example: C5111"
"Cabinet Knobs","http://emtek.com/cabinet-knobs","","http://emtek.com/Cabinet-Knobs/atomic-knob","","","","","","Technical Specification",""
"Hinges","http://emtek.com/door-hinges","","http://emtek.com/Door-Hinges/hd-plain-312-14r-ss-hinge","http://emtek.com/products/door_hinges/SS_Hinge_312_14Radius.jpg","","","","","",""
"Door Accessories","http://emtek.com/door-accessories","","http://emtek.com/Door-Accessories/ball-tip-sets-for-steel-hinges","","","http://emtek.com/finishes/US3_PVD_Finish.jpg","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-helios-lever","","","http://emtek.com/rosettes/Modern_Rectangular_US10B.jpg","","","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/brass-baden-pull","","","http://emtek.com/finishes/US10B_Finish.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/hampton-crystal-knob","","","","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/modern-square-crystal","","http://emtek.com/products/passage_privacy_knobs/KB_60_MSC_Square_US26.jpg","","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-keyed-euro","","","http://emtek.com/levers/LV_54_Stuttgart_US15.jpg","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/geneva-lever","","","http://emtek.com/rosettes/RO_13_Brass_Neos_US15.jpg","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-nonkey-358","","","http://emtek.com/finishes/US10B_Finish.jpg","","","",""
"Cabinet Knobs","http://emtek.com/cabinet-knobs","","http://emtek.com/Cabinet-Knobs/brass-cone-knob","","","http://emtek.com/finishes/US19_Finish.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/bristol-crystal","","","","","","- Fits any door between 1-3/8"" to 2-1/4"" thick with a 2-1/8"" bore standard door prep",""
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/11-stainless-steel-stretto-keyed","","","","","Technical Specifications","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/brass-baden-pull","","","http://emtek.com/finishes/US26_Finish.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/bristol-crystal","","http://emtek.com/products/passage_privacy_knobs/KB_08_Bristol.jpg","","","","",""
"Bath Hardware","http://emtek.com/bath-hardware","","http://emtek.com/Bath-Hardware/stainless-steel-paper-holder-bar-style","","","http://emtek.com/rosettes/RO_20_SS_Square.jpg","","","",""
"Door Accessories","http://emtek.com/door-accessories","","http://emtek.com/Door-Accessories/concealed-screw-surface-bolts","","","","","","","4"" Concealed Screw Surface Bolt: 8527"
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-10-keyed-418","","","http://emtek.com/finishes/US10B_Finish.jpg","","","",""
"Cabinet Pulls","http://emtek.com/cabinet-pulls","","http://emtek.com/Cabinet-Pulls/bauhaus-pull","","http://emtek.com/products/cabinet_pulls/CP_04_Bauhaus_CabinetPull_US10B.jpg","","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-helios-lever","","http://emtek.com/products/passage_privacy_levers/LV_28_Helios_US10B.jpg","","","","",""
"Cabinet Appliance Pulls","http://emtek.com/cabinet-appliance-pulls","","http://emtek.com/Cabinet-Appliance-Pulls/sandcast-bronze-rail-bronze-appliance-pull","","","","","","","12/"" C-to-C: 86349 18/"" C-to-C: 86350"
"Cabinet Knobs","http://emtek.com/cabinet-knobs","","http://emtek.com/Cabinet-Knobs/brass-bar-knob","","http://emtek.com/products/cabinet_knobs/CK_10_Brass_Bar_CabinetKnob_US10B.jpg","","","","",""
"Cabinet Appliance Pulls","http://emtek.com/cabinet-appliance-pulls","","http://emtek.com/Cabinet-Appliance-Pulls/sandcast-bronze-rail-bronze-appliance-pull","http://emtek.com/products/cabinet_appliance_pulls/CA_09_Bronze_Rail_Appliance_MB.jpg","","","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/hampton-crystal-knob","","","","","","","Neos Rosette Style: 
Passage Set - 5111 
Privacy Set - 5211 
Dummy, Pair - 5051"
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-hercules-lever","","","http://emtek.com/finishes/US26_Finish.jpg","","","",""
"Cabinet Pulls","http://emtek.com/cabinet-pulls","","http://emtek.com/Cabinet-Pulls/brass-bar-pull","","","","","","Technical Specifications",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-nonkey-euro","","","","- Can be ordered with any Brass Levers
 - Swinging Patio Door Hardware. Set includes Plates, Handles, and Thumbturn Tailpiece
 - Multi Point Mortise Lock Box not included. Trims Only
 - For pricing information, contact any EMTEK® dealer
 
 *Geneva Lever can be used in single door application only.","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-11-keyed-euro","","","http://emtek.com/finishes/US10B_Finish.jpg","","","",""
"Passage / Privacy Knobs","http://emtek.com/passage-privacy-knobs","","http://emtek.com/Passage-Privacy-Knobs/bern-knob","","","http://emtek.com/rosettes/RO_09_Brass_Disk_US10B.jpg","","","",""
"Door Pulls","http://emtek.com/door-pulls","","http://emtek.com/Door-Pulls/brass-knoxville-pull","","","","","","","8"" Pull 
86077"
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-poseidon-lever","","","http://emtek.com/finishes/US19_Finish.jpg","","","",""
"Door Accessories","http://emtek.com/door-accessories","","http://emtek.com/Door-Accessories/ball-tip-sets-for-steel-hinges","","","http://emtek.com/finishes/US26_Finish.jpg","","","",""
"Cabinet Knobs","http://emtek.com/cabinet-knobs","","http://emtek.com/Cabinet-Knobs/brass-cone-knob","","http://emtek.com/products/cabinet_knobs/CK_16_Brass_Cone_CabinetKnob_US26.jpg","","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/aireon-lever","","http://emtek.com/products/passage_privacy_levers/Aireon_Modern_US10B.jpg","","","","",""
"Multi Point Lock Trim","http://emtek.com/multi-point-lock-trim","","http://emtek.com/Multi-Point-Lock-Trim/modern-style-10-keyed-418","","","http://emtek.com/finishes/US26_Finish.jpg","","","",""
"Sideplate Locks","http://emtek.com/sideplate-locks","","http://emtek.com/Sideplate-Locks/11-stainless-steel-stretto-keyed","","","http://emtek.com/finishes/StainlessSteel.jpg","","","",""
"Passage / Privacy Levers","http://emtek.com/passage-privacy-levers","","http://emtek.com/Passage-Privacy-Levers/brass-helios-lever","","","","","","","Upgrade to CF Mechanism by adding ""C"" in front of the product code. 
For example: C5111"
